Code	CodeName	ShortCodeName
075Y	Hurricane Maria 2017	Hurricane
1127	EVOLUTIONARY PROCESSES CLUSTER	EvolutionaryProc
1165	ADVANCES IN BIO INFORMATICS	BiologicalInformatica
1171	PHYLOGENETIC SYSTEMATICS	PHYLOGENETIC
1181	ECOSYSTEM STUDIES	ECOSYSTEM
1182	POP & COMMUNITY ECOL PROG	POPCOMM
1195	LONG TERM ECOLOGICAL RESEARCH	LTER
1196	LONG-TERM RSCH IN ENVIR BIO	LTREnv
1198	Biodiversity: Discov &Analysis	Biodiversity
1260	INFRASTRUCTURE PROGRAM	INFRASTRUCTURE
1329	PLANT GENOME RESEARCH PROJECT	PLANTGENOME
1352	GEOGRAPHY AND SPATIAL SCIENCES	GEOGRAPHY
1440	ENVIRONMENTAL ENGINEERING	EENGINEERING
1525	PHYSICAL & DYNAMIC METEOROLOGY	METEOROLOGY
1579	HYDROLOGIC SCIENCES	HYDROLOGIC
1650	BIOLOGICAL OCEANOGRAPHY	BioOCEANOGRAPHY
1690	"EDUCATION/HUMAN RESOURCES,OCE"	EDUCATION
1691	DYN COUPLED NATURAL-HUMAN	NATURAL-HUMAN
5280	ARCTIC NATURAL SCIENCES	ARCTIC
5740	CLIMATE & LARGE-SCALE DYNAMICS	CLIMATE
6133	GoLife	GoLife
7242	ECOLOGY OF INFECTIOUS DISEASES	DISEASES
7275	CROSS-EF ACTIVITIES	CROSS-EF 
7298	COLLABORATIVE RESEARCH	COLLABORATIVE 
7313	REGIONAL INST FOR GLOBAL CHANG	GLOBALCHANG
7334	MATHEMATICAL BIOLOGY	MATHEMATICAL Bio
7374	Systematics & Biodiversity Sci	Systematics
7377	EVOLUTIONARY ECOLOGY	EVOLUTIONARYECO
7378	EVOLUTIONARY GENETICS	EVOGENETICS
7458	GEOMORPHOLOGY & LAND USE DYNAM	GEOMORPHOLOGY 
7659	ANIMAL BEHAVIOR	ANIMALBEHAVIOR
7719	DEL	DEL
7959	MACROSYSTEM BIOLOGY	MACROSYSTEMBio
7968	Dimensions of Biodiversity	DimenBiodiversity
9103	CLB-Career	CLB-Career
9106	CLB-PostDocs	CLB-PostDocs
9108	CLB-Non-Career	CLB-Non-Career
9150	EPSCoR Co-Funding	EPSCoR
9199	Unallocated Program Costs	Unallocated Program Costs
p315	Unknownp315	Unknownp315
